50	38	sample_12	sample_25	sample_34	sample_35	sample_36	sample_37	sample_38	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_26	sample_27
U22376	NO	551	1872	1126	880	473	186	680	794	1312	485	408	1047	335	3105	1118	4543	5467	3469	3309	3936	4745	4081	1658	2853	4746	1534	5311	4326	7155	1178	3427	6870	9177	4836	3085	5815	3265	2877
X59417	NO	846	3878	782	490	1648	528	99	1203	1561	1628	1784	1214	1583	3016	3424	7724	3821	5216	4194	5528	2073	7782	5204	6541	7743	1756	7288	6084	2455	1273	6482	7629	5746	699	2443	3840	3262	1810
U05259	NO	2504	5070	711	654	-14	218	251	-2	412	343	272	306	19	9326	895	628	5314	5354	282	5146	4048	423	585	147	5075	155	5767	3649	218	3339	2696	8148	2805	5397	870	5955	8219	4184
M92287	NO	2056	1689	498	165	1309	852	1484	1283	1525	811	1032	1024	1827	4778	2700	4926	5403	3440	3179	3978	3293	7324	2676	6134	10669	1912	9211	3345	2360	1316	2492	6464	524	3253	3796	4093	5204	2581
M31211	NO	334	481	153	19	88	139	75	300	237	100	192	339	59	601	435	547	472	661	337	309	263	978	752	897	668	265	898	666	374	516	473	1487	688	143	376	531	647	145
X74262	NO	209	489	279	336	194	130	51	596	309	313	275	311	19	1372	1184	2221	1051	1370	1306	1339	655	3593	1058	953	1624	2050	1995	1625	3139	882	1459	4253	768	176	862	1409	716	500
D26156	NO	329	738	302	201	667	697	721	893	624	388	432	706	736	1595	822	1452	654	1011	1584	578	1024	1297	971	1913	1593	1011	1763	2065	1778	764	1448	2191	768	1323	1992	1210	2143	1245
S50223	NO	90	301	56	168	-73	-53	62	107	150	-1	31	210	-94	268	346	804	452	476	256	208	310	640	152	441	545	570	571	235	352	-65	84	867	323	241	493	502	101	20
M31523	NO	474	553	299	389	126	190	275	353	279	250	381	671	200	1320	898	597	1644	1322	787	946	1917	1440	442	617	1969	686	2572	1439	989	1186	1224	4555	2707	274	590	1823	1909	1076
L47738	NO	140	223	12	218	8	-80	201	449	65	172	239	683	153	571	2893	2723	731	649	1858	280	1716	2388	913	2147	556	1483	1505	904	643	669	1137	3810	1631	857	813	899	759	899
U32944	NO	277	1081	427	288	295	224	230	384	179	651	469	328	133	3349	1002	2089	1625	3502	316	1530	1042	2286	934	282	2069	1613	2952	3110	2591	820	1116	5908	1143	108	146	2457	1480	1283
Z15115	NO	1277	2242	2271	1082	2007	802	939	1238	967	1365	1568	1843	936	8444	1920	3118	4261	3425	1790	3810	6153	3303	1329	2525	6216	3382	5831	5617	3714	1616	4692	11241	9114	2572	1601	6110	3074	5374
X13949	NO	-2	163	35	79	71	14	64	64	35	-5	23	59	33	277	104	91	403	416	46	267	314	210	97	27	588	307	747	393	822	515	339	748	201	48	-36	598	169	104
X63469	NO	43	162	181	74	202	4	-25	28	178	12	115	136	63	460	151	230	314	632	181	213	227	362	47	225	495	442	522	467	485	472	156	629	256	104	172	494	348	217
M91432	NO	76	363	263	226	87	183	111	323	125	158	295	368	110	767	814	1547	831	1423	430	764	752	1777	426	472	920	606	1417	869	2031	954	532	3192	896	70	321	992	636	419
U29175	NO	219	404	454	391	412	393	286	429	314	208	385	688	248	1582	624	753	743	626	1157	552	572	1776	756	1972	1322	732	1636	2076	917	453	1660	2174	3707	295	1377	1456	1982	949
Z69881	NO	291	892	784	406	118	43	214	172	371	292	248	618	-203	1766	2015	3556	828	1496	2606	473	2067	4461	1777	2744	3578	1706	2041	3847	8578	111	576	5796	-11	1628	1962	1306	2452	760
U20998	NO	426	498	407	529	697	786	845	824	1174	440	651	660	580	1753	1602	2761	1486	2298	1013	898	1586	2334	878	2016	2151	2263	2901	2523	3297	954	1146	4700	2914	1000	1122	2298	753	672
D38073	NO	314	521	238	382	245	267	342	832	294	148	309	259	256	994	539	1441	680	950	1258	509	331	1974	664	884	1991	1062	1030	675	1731	762	800	1158	1185	141	767	1145	700	456
U26266	NO	60	166	282	43	64	-44	-179	151	66	-49	-36	192	-303	289	288	447	424	364	320	381	53	869	403	526	673	308	929	698	1060	358	310	1047	-67	-44	395	651	190	201
M31303	NO	2290	2910	1647	2195	1885	1359	1291	2176	1486	730	3719	1985	1528	3828	3021	7247	3780	3563	4890	3330	4213	7230	5052	3352	4751	2346	3347	3207	6633	2143	2291	5933	2306	2131	4677	3182	2648	2818
Y08612	NO	119	292	200	86	209	253	199	292	151	173	119	185	172	517	351	214	432	596	220	196	436	513	114	492	393	416	651	278	623	198	251	847	689	290	199	569	424	517
U35451	NO	15	116	208	57	214	149	195	209	29	160	223	293	73	408	633	912	304	398	506	357	134	982	613	745	810	404	547	72	665	726	95	767	600	247	442	621	96	291
M29696	NO	363	5653	517	459	268	607	448	485	185	281	444	438	1068	3863	511	1952	6127	2547	1804	1129	1412	5817	769	1704	1515	3854	4436	2206	754	27	473	4409	1536	678	2103	1478	2281	503
M13792	NO	1695	2425	911	2551	1297	753	2708	2493	487	769	1614	4148	1446	3221	10954	16529	5364	2837	16135	6067	3103	15235	8982	8630	4765	3529	9000	10227	8469	2091	2273	12217	2973	1743	12805	5981	3323	2617
